latitude	longitude	city	state
25.658887	-100.393495	San Pedro Garza García	Nuevo León
25.659102	-100.375633	San Pedro Garza García	Nuevo León
25.659696	-100.387108	San Pedro Garza García	Nuevo León
25.660758	-100.370395	San Pedro Garza García	Nuevo León
25.660814	-100.283342	Monterrey	Nuevo León
25.661322	-100.350212	San Pedro Garza García	Nuevo León
25.662209	-80.388282		Florida
25.662520	-100.293670	Monterrey	Nuevo León
25.663131	-80.34698	Kendall	Florida
25.663167	-80.453525		Florida
25.663352	-100.336016	Monterrey	Nuevo León
25.663372	-100.349568	San Pedro Garza García	Nuevo León
25.663384	-100.349512	San Pedro Garza García	Nuevo León
25.663422	-100.368258	San Pedro Garza García	Nuevo León
25.663874	-100.309006	Monterrey	Nuevo León
25.665044	-80.37959	Kendall	Florida
25.665786	-80.456736		Florida
25.666535	-100.404301	San Pedro Garza García	Nuevo León
25.667926	-80.332301	Kendall	Florida
25.668354	-100.341892	Monterrey	Nuevo León
25.668958	-100.341654	Monterrey	Nuevo León
25.66898	-80.44194		Florida
25.669392	-100.376182	Monterrey	Nuevo León
25.670558	-80.365486	Kendall	Florida
25.670568	-80.426203		Florida
25.670806	-100.386106	Monterrey	Nuevo León
25.670975	-80.368355	Kendall	Florida
25.671079	-100.333026	Monterrey	Nuevo León
25.671109	-80.376776	Kendall	Florida
25.671944	-80.375005	Kendall	Florida
25.672237	-80.376954	Kendall	Florida
25.672412	-100.350246	Monterrey	Nuevo León
25.672434	-100.355377	Monterrey	Nuevo León
25.672437	-100.337038	Monterrey	Nuevo León
25.673279	-80.389099	Miami	Florida
25.673471	-100.400385	San Pedro Garza García	Nuevo León
25.674039	-80.369875	Kendall	Florida
25.674567	-80.415444	Miami	Florida
25.674715	-80.420726		Florida
25.675714	-80.415647		Florida
25.678236	-80.316761	Pinecrest	Florida
25.678251	-100.236734	Guadalupe	Nuevo León
25.678617	-80.388536	Kendall	Florida
25.679211	-80.388077	Kendall	Florida
25.680169	-80.449263		Florida
25.680186	-80.353416	Kendall	Florida
25.683767	-80.421692		Florida
25.684368	-80.40135		Florida
25.684405	-80.41567		Florida
25.684885	-80.401401	Miami	Florida
25.685324	-80.431742	Miami	Florida
25.686767	-80.376957	Kendall	Florida
25.686824	-80.397566		Florida
25.687325	-80.425134		Florida
25.687334	-80.331967	Kendall	Florida
25.687554	-80.385908	Kendall	Florida
25.688653	-80.386362	Kendall	Florida
25.68866	-80.38507	Kendall	Florida
25.689032	-80.325929	Kendall	Florida
25.68947	-80.31548	Kendall	Florida
25.690456	-80.313088	Miami	Florida
25.691804	-100.355136	Monterrey	Nuevo León
25.692402	-80.304803	South Miami	Florida
25.692854	-80.416065		Florida
25.692961	-80.451545		Florida
25.693483	-80.344531		Florida
25.693597	-80.315338	South Miami	Florida
25.694828	-80.307757	South Miami	Florida
25.696261	-80.418729		Florida
25.697687	-80.408077		Florida
25.699619	-100.364949	Monterrey	Nuevo León
25.699788	-80.448215		Florida
25.700524	-80.439236		Florida
25.701958	-100.359856	Monterrey	Nuevo León
25.702159	-80.29846	South Miami	Florida
25.702536	-80.285049	South Miami	Florida
25.703291	-80.318426	South Miami	Florida
25.704889	-80.306501	South Miami	Florida
25.706113	-80.442639		Florida
25.706306	-80.296714	South Miami	Florida
25.706956	-80.286301	South Miami	Florida
25.707633	-80.286344	South Miami	Florida
25.707875	-80.367911		Florida
25.708001	-80.286629	South Miami	Florida
25.70859	-80.332455		Florida
25.711369	-80.344586		Florida
25.711707	-100.381015	Monterrey	Nuevo León
25.712257	-80.281769	Coral Gables	Florida
25.712591	-80.368508		Florida
25.713004	-100.376473	Monterrey	Nuevo León
25.713493	-80.278538	Coral Gables	Florida
25.714254	-80.447727		Florida
25.715008	-80.321984	South Miami	Florida
25.716052	-80.325895		Florida
25.716066	-80.479649		Florida
25.717681	-70.942583	None	None
25.718656	-80.271884	Coral Gables	Florida
25.718704	-80.270677	Coral Gables	Florida
25.719448	-80.401847		Florida
25.719553	-80.418974		Florida
25.72015	-80.272474	Coral Gables	Florida
25.720694	-80.381109		Florida
25.721657	-80.266951	Coral Gables	Florida
25.721908	-80.333783		Florida
25.722465	-100.311935	Monterrey	Nuevo León
25.723923	-80.387333		Florida
25.725685	-80.26051	Coral Gables	Florida
25.726431	-80.26822	Coral Gables	Florida
25.727369	-80.248039	Miami	Florida
25.728017	-80.241056	Miami	Florida
25.728597	-80.33617		Florida
25.729125	-80.249248	Miami	Florida
25.729537	-80.416429		Florida
25.72962	-80.421449		Florida
25.730838	-80.245234	Miami	Florida
25.731256	-80.319487	South Miami	Florida
25.731956	-80.260547	Coral Gables	Florida
25.734537	-80.438397		Florida
25.734903	-80.253722	Miami	Florida
25.735257	-80.442267		Florida
25.73596	-80.337584		Florida
25.73623	-80.273135	Coral Gables	Florida
25.736532	-80.248887	Miami	Florida
25.738187	-80.417958		Florida
25.739992	-80.438841		Florida
25.744665	-80.419132		Florida
25.747421	-80.220035	Miami	Florida
25.748850	-100.325745	Monterrey	Nuevo León
25.749009	-80.364734	Miami	Florida
25.750126	-80.364872		Florida
25.750199	-80.407504		Florida
25.751638	-80.264229	Coral Gables	Florida
25.752201	-80.206837	Miami	Florida
25.752331	-80.280166	Coral Gables	Florida
25.75239	-80.369217		Florida
25.753079	-80.320045		Florida
25.754338	-80.373367	Miami	Florida
25.756312	-80.355014	Miami	Florida
25.75774	-80.440058		Florida
25.758528	-80.383135		Florida
25.759236	-80.417966		Florida
25.759282	-80.417015		Florida
25.760014	-80.37192		Florida
25.760261	-80.383652		Florida
25.760792	-80.369837		Florida
25.760794	-80.192207	Miami	Florida
25.760798	-80.193716	Miami	Florida
25.760868	-80.195973	Miami	Florida
25.761736	-80.324885	Miami	Florida
25.761823	-100.405807	Monterrey	Nuevo León
25.761911	-80.408953		Florida
25.762907	-80.196075	Miami	Florida
25.763008	-80.385134		Florida
25.763176	-80.191152	Miami	Florida
25.763758	-80.369119		Florida
25.764408	-80.368186		Florida
25.764475	-80.357751	Miami	Florida
25.764831	-100.250427	Apodaca	Nuevo León
25.765886	-80.328363	Miami	Florida
25.767349	-80.200765	Miami	Florida
25.767659	-80.196333	Miami	Florida
25.768073	-80.200163	Miami	Florida
25.768157	-100.409366	Monterrey	Nuevo León
25.770068	-80.370137	Hialeah	Florida
25.770765	-80.190889	Miami	Florida
25.770919	-80.133599	Miami Beach	Florida
25.771426	-80.188615	Miami	Florida
25.771738	-80.190083	Miami	Florida
25.77199	-100.403334	Monterrey	Nuevo León
25.771996	-80.191617	Miami	Florida
25.772371	-80.135921	Miami Beach	Florida
25.77273	-80.258869	Miami	Florida
25.773073	-80.388214		Florida
25.773209	-80.13833	Miami Beach	Florida
25.773214	-80.187377	Miami	Florida
25.773539	-80.177072	Miami	Florida
25.773604	-80.138227	Miami Beach	Florida
25.77364	-80.138186	Miami Beach	Florida
25.773649	-80.138231	Miami Beach	Florida
25.773745	-80.138043	Miami Beach	Florida
25.774087	-80.141192	Miami Beach	Florida
25.774194	-80.14145	Miami Beach	Florida
25.774195	-80.187583	Miami	Florida
25.77441	-80.139026	Miami Beach	Florida
25.774634	-80.183092	Miami	Florida
25.775514	-80.198616	Miami	Florida
25.776342	-80.220933	Miami	Florida
25.776347	-80.188986	Miami	Florida
25.776357	-80.132024	Miami	Florida
25.776438	-80.135254	Miami Beach	Florida
25.776504	-80.134038	Miami Beach	Florida
25.776536	-80.134133	Miami Beach	Florida
25.776548	-80.134145	Miami Beach	Florida
25.776781	-80.188468	Miami	Florida
25.777166	-80.133641	Miami Beach	Florida
25.777394	-80.189854	Miami	Florida
25.779536	-80.264111	Miami	Florida
25.780642	-80.166511	Miami Beach	Florida
25.780673	-80.131922	Miami Beach	Florida
25.780687	-80.13221	Miami Beach	Florida
25.780908	-80.13177	Miami Beach	Florida
