PWS ID,ZIPCODE,postal_code,latitude,longitude
PA3060018,19508.0,19508.0,40.2563,-75.8344
PA3390073,18049.0,18049.0,40.5293,-75.501
PA4190013,18603.0,18603.0,41.0665,-76.2443
PA5020010,15108.0,15108.0,40.5,-80.1996
PA7010022,17340.0,17340.0,39.7495,-77.1003
PA7010025,17350.0,17350.0,39.8775,-77.0643
PA7210002,17013.0,17013.0,40.2417,-77.1983
PA7210028,17055.0,17055.0,40.179,-77.0036
PA7220034,17061.0,17061.0,40.5587,-76.9305
PA7360099,17557.0,17557.0,40.1005,-76.0801
PA7360113,17517.0,17517.0,40.2297,-76.1157
PA7360124,17022.0,17022.0,40.1553,-76.6025
PA7360345,17545.0,17545.0,40.1702,-76.4168
PA7670061,17319.0,17319.0,40.1545,-76.8019
PA7670062,17363.0,17363.0,39.772,-76.597
PA7670071,17019.0,17019.0,40.0964,-77.0339
PA7670088,17361.0,17361.0,39.7601,-76.6748
RI1559517,2852.0,2852.0,41.5894,-71.4625
RI1615623,2879.0,2879.0,41.4437,-71.5342
RI1858422,2881.0,2881.0,41.4803,-71.5292
SC0820009,29431.0,29431.0,33.2703,-79.8736
SC1010005,29439.0,29439.0,32.663,-79.927
SC1010008,29455.0,29455.0,32.7924,-80.1081
SC1110002,29702.0,29702.0,35.1095,-81.4942
SC1120002,28114.0,28114.0,35.2295,-81.7492
SC1120003,29340.0,29340.0,35.0615,-81.6491
SC1120004,29330.0,29330.0,35.039,-81.822
SC1850009,29456.0,29456.0,32.993,-80.1257
SC2620004,29511.0,29511.0,33.9823,-79.1777
SC2810001,29020.0,29020.0,34.2696,-80.591
SC3010002,29325.0,29325.0,34.4707,-81.8772
SC3020001,29325.0,29325.0,34.4707,-81.8772
SC3210001,29072.0,29072.0,33.9724,-81.2359
SC3520002,29821.0,29821.0,33.6505,-82.1488
SC3610001,29108.0,29108.0,34.2847,-81.6157
SC4010501,29207.0,29207.0,34.0197,-80.9391
SC4120001,29006.0,29006.0,33.8702,-81.5505
SC4410001,29379.0,29379.0,34.7269,-81.6202
SD4680046,57751.0,57751.0,43.8848,-103.3995
TN0000430,37330.0,37330.0,35.2705,-86.1396
TN0000541,38363.0,38363.0,35.6664,-88.1195
TN0000546,38326.0,38326.0,35.0394,-88.2936
TN0000611,38372.0,38372.0,35.2023,-88.2005
TN0000628,37160.0,37160.0,35.4863,-86.4624
